,Q14_hrs_all_jobs,Q2_Health,Q49_gender,Q50_age,Q3_Income_vs_5yr_ago,avg_hours_worked,avg_hours_worked_men,avg_hours_worked_women,Q4_Income_vs_5yr_fut,Q11_why_other_job,Q33_have_right_edu,Q62_ever_incarcerated,Q64_personal_income_cleaned,Q65_household_income_cleaned,statename,region
5863,32,5,2,56,3,38.3,41.1,35.2,3,,1,0,56000,56000,Indiana,Midwest Region
5865,30,5,1,64,2,37.8,40.5,35,2,,1,0,,,Ohio,Midwest Region
5866,50,4,1,46,2,39.8,41.8,37.4,3,,1,0,116000,116000,Texas,South Region
5867,50,4,2,41,3,34.3,36.6,32,3,,1,0,100000,200000,Indiana,Midwest Region
5868,20,3,1,66,2,39.1,41.6,36.3,1,,1,0,40000,45000,North Carolina,South Region
5869,50,5,1,45,1,38.2,41,35.3,3,,1,0,1000000,1000000,Vermont,Northeast Region
5871,40,4,1,62,3,37.3,39.1,35,1,,1,0,140000,140000,Nevada,West Region
5872,16,4,2,59,1,38.7,40.7,36.6,2,,1,0,,,Florida,South Region
5873,20,1,2,40,3,38.5,41.6,35,3,,1,0,10000,35000,New Jersey,Northeast Region
5874,50,4,1,40,3,38.4,41.1,35.4,3,2,1,0,180000,180000,Pennsylvania,Northeast Region
5875,40,3,1,34,3,37.6,40.4,34.6,3,,1,0,148000,217000,Colorado,West Region
5876,40,5,2,63,3,38.4,40.4,36.2,2,,1,0,,,Nevada,West Region
5877,45,3,2,59,3,38.4,40.9,35.9,1,,0,0,55000,55000,Maine,Northeast Region
5878,60,4,2,58,3,39.9,42.4,36.9,1,,0,0,57000,90000,Arkansas,South Region
5880,70,3,1,54,1,38.6,40.9,35.7,2,1,1,1,100000,100000,California,West Region
5883,20,4,2,62,3,40.1,43.1,36,2,,1,0,8500,100000,Alabama,South Region
5884,40,4,2,39,3,38.8,40.7,36.7,3,,1,0,150000,225000,Arizona,West Region
5885,55,5,2,37,3,37.9,40.6,34.9,2,,1,0,200000,350000,Texas,South Region
5886,50,4,2,51,1,38.8,40.7,36.7,3,2,1,0,150000,150000,Arizona,West Region
5888,40,4,1,57,3,40.2,42.8,37.4,1,,1,0,250000,400000,Mississippi,South Region
5889,60,3,1,40,3,39.1,42.1,35.6,3,2,1,0,375000,375000,Tennessee,South Region
5891,40,3,1,54,2,38.8,41.2,36.1,3,,1,0,,,New Hampshire,Northeast Region
5892,45,2,1,57,2,37.7,40,35,2,,1,0,86000,128000,California,West Region
5893,42,4,2,63,1,38.3,40.9,35.6,1,,1,0,21000,120000,Pennsylvania,Northeast Region
5894,40,3,2,58,2,38.7,41.3,35.8,3,4,1,0,68000,68000,Arkansas,South Region
5898,4,3,2,79,2,38.6,40.3,37,2,,1,0,43000,43000,Indiana,Midwest Region
5899,65,4,1,48,3,36.6,39.2,34,3,1,0,1,55000,60000,Oregon,West Region
5900,24,2,2,64,1,38.9,42.2,34.9,1,,1,0,12000,77000,Michigan,Midwest Region
5901,40,3,1,31,3,38,39.8,36,3,,0,0,37000,200000,California,West Region
5903,50,4,1,62,3,38.5,41.7,34.4,3,,1,0,62000,62000,Kentucky,South Region
5904,50,2,3,26,3,39.6,42,36.9,3,,1,0,40000,80000,Oklahoma,South Region
5905,45,5,2,40,3,38.6,40.3,37,3,,1,0,140000,220000,Indiana,Midwest Region
5908,55,4,2,39,3,39.5,42,36.9,3,,1,0,130000,206500,Georgia,South Region
5909,35,4,1,58,1,40.5,43.6,36.9,1,,1,0,325000,800000,Texas,South Region
5910,23,5,2,23,3,35.8,37.3,34.1,2,4,1,0,13000,70000,Alabama,South Region
5911,48,4,1,32,3,37,39,35,3,2,1,0,75000,90000,Minnesota,Midwest Region
5913,45,4,1,36,3,38.1,40.4,35.7,3,4,1,0,75000,100000,Michigan,Midwest Region
5915,55,3,2,28,3,39.5,41.6,37.1,3,2,1,0,,,Virginia,South Region
5916,65,4,3,39,2,38.7,41.2,35.6,2,2,1,0,25000,50000,Iowa,Midwest Region
5917,50,3,2,31,3,38.5,40.7,36.3,2,,0,0,47000,47000,Louisiana,South Region
5921,48,3,1,55,3,37.4,40.3,34.4,2,,1,0,80000,120000,New York,Northeast Region
5923,40,3,1,30,3,38.5,41,35.8,3,,1,0,53000,100000,Virginia,South Region
5925,45,5,2,51,2,40.7,45.7,35.5,2,,1,0,80000,120000,South Dakota,Midwest Region
5926,50,5,1,59,3,37.9,39.6,35.9,3,,1,,,,California,West Region
5927,20,5,2,39,2,39.3,41.7,36.6,2,,0,1,5000,25000,Oklahoma,South Region
5929,40,4,2,38,3,38.2,40.2,36.1,3,,1,0,88000,140000,New Mexico,West Region
5930,40,3,1,58,2,37.9,40.2,35.5,2,,1,0,60000,60000,Pennsylvania,Northeast Region
5932,50,2,1,36,3,37.5,39.4,35.5,3,2,1,0,75000,75000,Arizona,West Region
